what's the avaiability on october 4 2019,Restaurant->Restaurant availability#find table{'date'= '4 oct'|1|'october 4  2019')}
I want a table here for 16:00,Restaurant availability->Reservation form#booking time{'booking time'= '16:00'|1|'16:00')}
anything free at 7 in the evening,Restaurant->Restaurant availability#find table{'time'= '19:00'|1|'7 in the evening')}
can I book on november 20 2019 at 9:00 am in the morning for just for 7,Restaurant->Restaurant availability#find table{'time'= '9:00'|1|'9:00 am in the morning'; 'date'= '20 nov'|1|'november 20  2019'; 'number of people'= 'for 7'|1|'just for 7')}
can they accomodate 9 guests on 7 aug 2019,Restaurant->Restaurant availability#find table{'date'= '7 aug'|1|'7 aug 2019'; 'number of people'= 'for 9'|1|'9 guests')}
what's the availability on 12 jul 2019 for just me,Restaurant->Restaurant availability#find table{'date'= '12 jul'|1|'12 jul 2019'; 'number of people'= 'for 1'|1|'just me')}
can I book on 25 nov 2019 at 6:30 morning time for just for 10,Restaurant->Restaurant availability#find table{'time'= '6:30'|1|'6:30 morning time'; 'date'= '25 nov'|1|'25 nov 2019'; 'number of people'= 'for 10'|1|'just for 10')}
tell me something about edinburgh,/->/city-restaurants#search{'search by name or location'= 'edinburgh'|0|'edinburgh')}
is it available on december 11 2019 at 9:30 am in the morning,Restaurant->Restaurant availability#find table{'time'= '9:30'|1|'9:30 am in the morning'; 'date'= '11 dec'|1|'december 11  2019')}
I only want gourmet restaurants,/search-listings/->/search-listings/#cuisine{'cuisine'= 'gourmet'|1|'gourmet')}
reserve for brian miller and specify david123@gmail.com as email and 3124569876 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'david123@gmail.com'|0|'david123@gmail.com'; 'first name'= 'brian'|0|'brian'; 'last name'= 'miller'|0|'miller'; 'phone number'= '3124569876'|0|'3124569876')}
can you reserve on november 28 2019 for about 11 people,Restaurant->Restaurant availability#find table{'date'= '28 nov'|1|'november 28  2019'; 'number of people'= 'for 11'|1|'about 11 people')}
more information for the restaurant london,/->/city-restaurants#search{'search by name or location'= 'london'|0|'london')}
can you reserve on 22 jul 2019 for a party of 12 people,Restaurant->Restaurant availability#find table{'date'= '22 jul'|1|'22 jul 2019'; 'number of people'= 'for 12'|1|'a party of 12 people')}
finalize the reservation for 9 in the night,Restaurant availability->Reservation form#booking time{'booking time'= '21:00'|1|'9 in the night')}
anything free at 11:30 in the night,Restaurant->Restaurant availability#find table{'time'= '23:30'|1|'11:30 in the night')}
what's the availability on november 1 2019 for a group of 6 friends,Restaurant->Restaurant availability#find table{'date'= '1 nov'|1|'november 1  2019'; 'number of people'= 'for 6'|1|'a group of 6 friends')}
what about a table here at 8:00 pm time for about 4 people,Restaurant->Restaurant availability#find table{'time'= '20:00'|1|'8:00 pm time'; 'number of people'= 'for 4'|1|'about 4 people')}
make a reservation for this for 6:00 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '18:00'|1|'6:00 pm time')}
I would like for you to make this reservation for me for 3  o'clock,Restaurant availability->Reservation form#booking time{'booking time'= '15:00'|1|"3  o'clock")}
anything free at 1:30 morning time,Restaurant->Restaurant availability#find table{'time'= '1:30'|1|'1:30 morning time')}
what about a table here at 8:00 in the evening for 11 persons,Restaurant->Restaurant availability#find table{'time'= '20:00'|1|'8:00 in the evening'; 'number of people'= 'for 11'|1|'11 persons')}
I want to reserve for 4 o'clock,Restaurant availability->Reservation form#booking time{'booking time'= '16:00'|1|"4 o'clock")}
can I book on 26 dec 2019 at 1:30 afternoon time for the 6 of us,Restaurant->Restaurant availability#find table{'time'= '13:30'|1|'1:30 afternoon time'; 'date'= '26 dec'|1|'26 dec 2019'; 'number of people'= 'for 6'|1|'the 6 of us')}
can you get me a table at this one at 7:30 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '19:30'|1|'7:30 in the evening')}
yes reserve this resturant for 4:00 pm in the afternoon,Restaurant availability->Reservation form#booking time{'booking time'= '16:00'|1|'4:00 pm in the afternoon')}
make a reservation for this for 3:30 afternoon time,Restaurant availability->Reservation form#booking time{'booking time'= '15:30'|1|'3:30 afternoon time')}
can I book on 6 aug 2019 at 8:00 evening time for just for me,Restaurant->Restaurant availability#find table{'time'= '20:00'|1|'8:00 evening time'; 'date'= '6 aug'|1|'6 aug 2019'; 'number of people'= 'for 1'|1|'just for me')}
reserve it under tom johnson,Reservation form->Reservation confirmation#continue reservation{'first name'= 'tom'|0|'tom'; 'last name'= 'johnson'|0|'johnson')}
places where to eat in edinburgh old town,/city-restaurants->/search-listings/#city area{'city area'= 'edinburgh old town'|1|'edinburgh old town')}
confirm my table for 7:00 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '19:00'|1|'7:00 pm time')}
is it available on 5 dec 2019 at 1:00 pm in the afternoon,Restaurant->Restaurant availability#find table{'time'= '13:00'|1|'1:00 pm in the afternoon'; 'date'= '5 dec'|1|'5 dec 2019')}
show me some restaurants in birmingham,/->/city-restaurants#uk cities{'uk cities'= 'birmingham'|1|'birmingham')}
can they accomodate me and 2 others on july 25 2019,Restaurant->Restaurant availability#find table{'date'= '25 jul'|1|'july 25  2019'; 'number of people'= 'for 3'|1|'me and 2 others')}
filter the results by borough,/search-listings/->/search-listings/#location{'location'= 'borough'|1|'borough')}
anything free at 8:30,Restaurant->Restaurant availability#find table{'time'= '8:30'|1|'8:30')}
what's the availability on 19 dec 2019 for about 6 people,Restaurant->Restaurant availability#find table{'date'= '19 dec'|1|'19 dec 2019'; 'number of people'= 'for 6'|1|'about 6 people')}
can they accomodate about 9 people on october 29 2019,Restaurant->Restaurant availability#find table{'date'= '29 oct'|1|'october 29  2019'; 'number of people'= 'for 9'|1|'about 9 people')}
can they accomodate 1 person on 22 jul 2019,Restaurant->Restaurant availability#find table{'date'= '22 jul'|1|'22 jul 2019'; 'number of people'= 'for 1'|1|'1 person')}
can you reserve on september 2 2019 for about 8 people,Restaurant->Restaurant availability#find table{'date'= '2 sep'|1|'september 2  2019'; 'number of people'= 'for 8'|1|'about 8 people')}
what are those with vegetarian cuisine,/search-listings/->/search-listings/#cuisine{'cuisine'= 'vegetarian'|1|'vegetarian')}
what about a table here at 12:30 night time for about 6 people,Restaurant->Restaurant availability#find table{'time'= '0:30'|1|'12:30 night time'; 'number of people'= 'for 6'|1|'about 6 people')}
what are some good restaurants in covent garden,/city-restaurants->/search-listings/#city area{'city area'= 'covent garden'|1|'covent garden')}
make a reservation for this for 19:00,Restaurant availability->Reservation form#booking time{'booking time'= '19:00'|1|'19:00')}
is it available on 12 jul 2019 at 8:30,Restaurant->Restaurant availability#find table{'time'= '8:30'|1|'8:30'; 'date'= '12 jul'|1|'12 jul 2019')}
what's the availability on july 30 2019 for 12 persons,Restaurant->Restaurant availability#find table{'date'= '30 jul'|1|'july 30  2019'; 'number of people'= 'for 12'|1|'12 persons')}
can they accomodate about 10 people on 5 aug 2019,Restaurant->Restaurant availability#find table{'date'= '5 aug'|1|'5 aug 2019'; 'number of people'= 'for 10'|1|'about 10 people')}
what's the availability on november 13 2019 for the 4 of us,Restaurant->Restaurant availability#find table{'date'= '13 nov'|1|'november 13  2019'; 'number of people'= 'for 4'|1|'the 4 of us')}
do have availability for a party of 9 people,Restaurant->Restaurant availability#find table{'number of people'= 'for 9'|1|'a party of 9 people')}
find me a table here for 4:30 pm in the afternoon,Restaurant availability->Reservation form#booking time{'booking time'= '16:30'|1|'4:30 pm in the afternoon')}
place the reservation for 4:45 pm in the afternoon,Restaurant availability->Reservation form#booking time{'booking time'= '16:45'|1|'4:45 pm in the afternoon')}
Is the restaurant available at 9 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '21:00'|1|'9 pm time')}
can they accomodate about 11 people on september 2 2019,Restaurant->Restaurant availability#find table{'date'= '2 sep'|1|'september 2  2019'; 'number of people'= 'for 11'|1|'about 11 people')}
reserve for eric smith and specify mark_taylor@outlook.com as email and 7741234567 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'mark_taylor@outlook.com'|0|'mark_taylor@outlook.com'; 'first name'= 'eric'|0|'eric'; 'last name'= 'smith'|0|'smith'; 'phone number'= '7741234567'|0|'7741234567')}
is 3:30 pm in the afternoon still available,Restaurant availability->Reservation form#booking time{'booking time'= '15:30'|1|'3:30 pm in the afternoon')}
do they have any table left on 13 nov 2019,Restaurant->Restaurant availability#find table{'date'= '13 nov'|1|'13 nov 2019')}
how booked it is on 7 aug 2019,Restaurant->Restaurant availability#find table{'date'= '7 aug'|1|'7 aug 2019')}
which are in the shard,/search-listings/->/search-listings/#location{'location'= 'the shard'|1|'the shard')}
complete the reservation for 8 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'8 in the evening')}
how booked it is on 6 aug 2019,Restaurant->Restaurant availability#find table{'date'= '6 aug'|1|'6 aug 2019')}
I would like for you to make this reservation for me for 3:00 afternoon time,Restaurant availability->Reservation form#booking time{'booking time'= '15:00'|1|'3:00 afternoon time')}
display only the vegan options,/search-listings/->/search-listings/#cuisine{'cuisine'= 'vegan'|1|'vegan')}
can you show me the menu photos and reviews of london,/->/city-restaurants#search{'search by name or location'= 'london'|0|'london')}
book it at 4:45 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '16:45'|1|'4:45 pm time')}
show me the real greek bankside,/search-listings/->Restaurant#restaurant name{'restaurant name'= 'the real greek bankside'|1|'the real greek bankside')}||/->/city-restaurants#search{'search by name or location'= 'the real greek bankside'|0|'the real greek bankside')}
can I book on 10 jul 2019 at 8:00 pm time for a party of 6 people,Restaurant->Restaurant availability#find table{'time'= '20:00'|1|'8:00 pm time'; 'date'= '10 jul'|1|'10 jul 2019'; 'number of people'= 'for 6'|1|'a party of 6 people')}
I need a reservation at this place at 5:30 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '17:30'|1|'5:30 pm time')}
do they have any table left on 26 aug 2019,Restaurant->Restaurant availability#find table{'date'= '26 aug'|1|'26 aug 2019')}
reserve for mark miller and specify david123@gmail.com as email and 3122345786 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'david123@gmail.com'|0|'david123@gmail.com'; 'first name'= 'mark'|0|'mark'; 'last name'= 'miller'|0|'miller'; 'phone number'= '3122345786'|0|'3122345786')}
find me a table here for 6:15 pm in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '18:15'|1|'6:15 pm in the evening')}
what about a table here at 12:00 in the night for a party of 11 people,Restaurant->Restaurant availability#find table{'time'= '0:00'|1|'12:00 in the night'; 'number of people'= 'for 11'|1|'a party of 11 people')}
what's the availability on 29 jul 2019 for 7 persons,Restaurant->Restaurant availability#find table{'date'= '29 jul'|1|'29 jul 2019'; 'number of people'= 'for 7'|1|'7 persons')}
I want to reserve for 7 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '19:00'|1|'7 pm time')}
anything free at 6:30 in the morning,Restaurant->Restaurant availability#find table{'time'= '6:30'|1|'6:30 in the morning')}
what about a table here at 5:30 morning time for just for 7,Restaurant->Restaurant availability#find table{'time'= '5:30'|1|'5:30 morning time'; 'number of people'= 'for 7'|1|'just for 7')}
reserve for eric miller and specify tom.fanet@gmail.com as email and 4401233624 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'tom.fanet@gmail.com'|0|'tom.fanet@gmail.com'; 'first name'= 'eric'|0|'eric'; 'last name'= 'miller'|0|'miller'; 'phone number'= '4401233624'|0|'4401233624')}
can they accomodate just for 12 on 6 nov 2019,Restaurant->Restaurant availability#find table{'date'= '6 nov'|1|'6 nov 2019'; 'number of people'= 'for 12'|1|'just for 12')}
get a table here for 18:00,Restaurant availability->Reservation form#booking time{'booking time'= '18:00'|1|'18:00')}
is it available for 8:00 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'8:00 evening time')}
can you get me a table at this one at 7 o'clock,Restaurant availability->Reservation form#booking time{'booking time'= '19:00'|1|"7 o'clock")}
can I get a table here for 9:00 night time,Restaurant availability->Reservation form#booking time{'booking time'= '21:00'|1|'9:00 night time')}
is it available on december 6 2019 at 11:30 night time,Restaurant->Restaurant availability#find table{'time'= '23:30'|1|'11:30 night time'; 'date'= '6 dec'|1|'december 6  2019')}
